PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_NA_LUT_Up)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SMS	chrX	21935644	21936007	+	0	NA	Intergenic	L1MB5|LINE|L1	-4748	NM_001258423	6611		NM_004595	ENSG00000102172	SMS	MRSR|MRXSSR|SPMSY|SRS|SpS	spermine synthase	protein-coding
LOC107986794	chr7	51881476	51881722	+	0	NA	Intergenic	Intergenic	-488343	NR_157843	107986794		NR_157843		LOC107986794	-	uncharacterized LOC107986794	ncRNA
C12orf50	chr12	87920795	87921429	+	0	NA	Intergenic	LTR52|LTR|ERVL	108289	NM_001363616	160419		NM_152589	ENSG00000165805	C12orf50	-	chromosome 12 open reading frame 50	protein-coding
PCTP	chr17	55794652	55795443	+	0	NA	intron (NM_001330378, intron 5 of 5)	intron (NM_001330378, intron 5 of 5)	43942	NM_001102402	58488		NM_021213	ENSG00000141179	PCTP	PC-TP|STARD2	phosphatidylcholine transfer protein	protein-coding
PCNX1	chr14	71002510	71003014	+	0	NA	intron (NM_014982, intron 8 of 35)	L1ME1|LINE|L1	95303	NM_014982	22990		NM_014982	ENSG00000100731	PCNX1	PCNX|PCNXL1|pecanex	pecanex 1	protein-coding
SMPX	chrX	21747477	21747981	+	0	NA	intron (NR_045617, intron 2 of 5)	intron (NR_045617, intron 2 of 5)	10387	NM_014332	23676		NM_014332	ENSG00000091482	SMPX	Chisel|Csl|DFN6|DFNX4|MPD7	small muscle protein X-linked	protein-coding
LINC01094	chr4	78652251	78652933	+	0	NA	intron (NR_038306, intron 2 of 2)	intron (NR_038306, intron 2 of 2)	6598	NR_038303	100505702		NR_038303		LINC01094	CTEPHA1	long intergenic non-protein coding RNA 1094	ncRNA
RASGEF1B-3	chr4	81609987	81610620	+	0	NA	Intergenic	L1PA16|LINE|L1	-138396	NM_001300735	153020		NM_152545	ENSG00000138670	RASGEF1B	GPIG4	RasGEF domain family member 1B	protein-coding
LINC02145-2	chr5	6076209	6077479	+	0	NA	Intergenic	Intergenic	260448	NR_028351	401172		NM_001001702	ENSG00000250490	LINC02145	-	long intergenic non-protein coding RNA 2145	ncRNA
MIR3914-1	chr7	71739554	71740352	+	0	NA	Intergenic	Intergenic	-432183	NR_037477	100500836		NR_037477	ENSG00000265878	MIR3914-1	-	microRNA 3914-1	ncRNA
PRSS23	chr11	86796099	86796275	+	0	NA	intron (NM_001293180, intron 1 of 1)	MIRb|SINE|MIR	-4355	NM_001293179	11098		NM_007173	ENSG00000150687	PRSS23	SIG13|SPUVE|ZSIG13	serine protease 23	protein-coding
GOLGA8CP	chr15	20587023	20588390	+	0	NA	Intergenic	Intergenic	25357	NR_027411	729786		NR_027411	ENSG00000181984	GOLGA8CP	GOLGA8C	golgin A8 family member C, pseudogene	pseudo
RUVBL1	chr3	128217803	128218620	+	0	NA	intron (NM_021937, intron 1 of 6)	intron (NM_021937, intron 1 of 6)	-64297	NM_001319086	8607		NM_003707	ENSG00000175792	RUVBL1	ECP-54|ECP54|INO80H|NMP 238|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	RuvB like AAA ATPase 1	protein-coding
NPY2R-2	chr4	155255477	155255865	+	0	NA	Intergenic	L1MB1|LINE|L1	47035	NM_000910	4887		NM_000910	ENSG00000185149	NPY2R	NPY2-R	neuropeptide Y receptor Y2	protein-coding
PIK3CB	chr3	138786629	138787334	+	0	NA	intron (NM_006219, intron 2 of 23)	intron (NM_006219, intron 2 of 23)	47947	NM_006219	5291		NM_006219	ENSG00000051382	PIK3CB	P110BETA|PI3K|PI3KBETA|PIK3C1	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	protein-coding
RPA3	chr7	7795306	7796177	+	0	NA	intron (NM_001302350, intron 3 of 4)	MER41B|LTR|ERV1	-77134	NM_002947	6119		NM_002947	ENSG00000106399	RPA3	REPA3|RP-A p14	replication protein A3	protein-coding
PENK	chr8	56501486	56502156	+	0	NA	intron (NR_125813, intron 2 of 3)	intron (NR_125813, intron 2 of 3)	-55180	NM_001135690	5179		NM_006211	ENSG00000181195	PENK	PE|PENK-A	proenkephalin	protein-coding
DIAPH2-AS1-2	chrX	98357059	98357380	+	0	NA	Intergenic	Intergenic	-792684	NR_125391	10824		NR_125391	ENSG00000236256	DIAPH2-AS1	EPAG	DIAPH2 antisense RNA 1	ncRNA
LINC02899	chr5	23897555	23898765	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-53188	NR_131245	439936		NR_131245	ENSG00000248874	LINC02899	C5orf17	long intergenic non-protein coding RNA 2899	ncRNA
LINC01810	chr2	5819068	5819454	+	0	NA	Intergenic	Intergenic	-6665	NR_146954	105373400		NR_146954	ENSG00000237266	LINC01810	-	long intergenic non-protein coding RNA 1810	ncRNA
CASC6-3	chr6	92538368	92538679	+	0	NA	Intergenic	Intergenic	-848095	NR_104154	101929083		NR_104154		CASC6	-	cancer susceptibility 6	ncRNA
NWD2	chr4	37318867	37319267	+	0	NA	intron (NM_001144990, intron 1 of 6)	L1PA16|LINE|L1	74324	NM_001144990	57495		NM_001144990	ENSG00000174145	NWD2	KIAA1239	NACHT and WD repeat domain containing 2	protein-coding
IL1RAPL1-2	chrX	28889516	28890249	+	0	NA	intron (NM_014271, intron 2 of 10)	intron (NM_014271, intron 2 of 10)	302436	NM_014271	11141		NM_014271	ENSG00000169306	IL1RAPL1	IL-1-RAPL-1|IL-1RAPL-1|IL1R8|IL1RAPL|IL1RAPL-1|MRX10|MRX21|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein like 1	protein-coding
CEMIP	chr15	80773023	80773683	+	0	NA	Intergenic	Tigger2b_Pri|DNA|TcMar-Tigger	-6017	NM_001293298	57214		NM_018689	ENSG00000103888	CEMIP	CCSP1|CEMIP1|HYBID|KIAA1199|TMEM2L	cell migration inducing hyaluronidase 1	protein-coding
AACS	chr12	125105346	125106522	+	0	NA	intron (NM_023928, intron 7 of 17)	intron (NM_023928, intron 7 of 17)	40499	NM_001319840	65985		NM_023928	ENSG00000081760	AACS	ACSF1|SUR-5	acetoacetyl-CoA synthetase	protein-coding
CTNND2	chr5	12217041	12217343	+	0	NA	Intergenic	MLT2B1|LTR|ERVL	-312746	NM_001332	1501		NM_001332	ENSG00000169862	CTNND2	GT24|NPRAP	catenin delta 2	protein-coding
APH1B	chr15	63236923	63237479	+	0	NA	intron (NM_016530, intron 1 of 7)	L1MA3|LINE|L1	-40349	NM_001145646	83464		NM_031301	ENSG00000138613	APH1B	APH-1B|PRO1328|PSFL|TAAV688|aph-1beta	aph-1 homolog B, gamma-secretase subunit	protein-coding
CTLA4-2	chr2	203898302	203899184	+	0	NA	Intergenic	MLT2B4|LTR|ERVL	30972	NM_005214	1493		NM_005214	ENSG00000163599	CTLA4	ALPS5|CD|CD152|CELIAC3|CTLA-4|GRD4|GSE|IDDM12	cytotoxic T-lymphocyte associated protein 4	protein-coding
CTSC	chr11	88346978	88347411	+	0	NA	Intergenic	MER72|LTR|ERV1	-9458	NM_001114173	1075		NM_001814	ENSG00000109861	CTSC	CPPI|DPP-I|DPP1|DPPI|HMS|JP|JPD|PALS|PDON1|PLS	cathepsin C	protein-coding
LINC00972	chr7	86030267	86030683	+	0	NA	Intergenic	L1MA5A|LINE|L1	609353	NR_134240	105375380		NR_134240	ENSG00000225128	LINC00972	-	long intergenic non-protein coding RNA 972	ncRNA
LOC105369535	chr11	121582382	121582637	+	0	NA	intron (NM_003105, intron 25 of 47)	intron (NM_003105, intron 25 of 47)	-100720	NR_169501	105369535		NR_169501		LOC105369535	-	uncharacterized LOC105369535	ncRNA
GPR88	chr1	100535833	100536160	+	0	NA	Intergenic	Intergenic	-2143	NM_022049	54112		NM_022049	ENSG00000181656	GPR88	COCPMR|STRG	G protein-coupled receptor 88	protein-coding
ABCA9	chr17	69060902	69061882	+	0	NA	promoter-TSS (NM_080283)	promoter-TSS (NM_080283)	-465	NM_080283	10350		NM_080283	ENSG00000154258	ABCA9	EST640918	ATP binding cassette subfamily A member 9	protein-coding
TET2	chr4	105031304	105031747	+	0	NA	Intergenic	L1PA7|LINE|L1	-114350	NM_017628	54790		NM_017628	ENSG00000168769	TET2	IMD75|KIAA1546|MDS	tet methylcytosine dioxygenase 2	protein-coding
SLC2A10	chr20	46774057	46774895	+	0	NA	Intergenic	Intergenic	64827	NM_030777	81031		NM_030777	ENSG00000197496	SLC2A10	ATORS|ATS|GLUT10	solute carrier family 2 member 10	protein-coding
CASC6	chr6	92405832	92406226	+	0	NA	Intergenic	L1MA7|LINE|L1	-715601	NR_104154	101929083		NR_104154		CASC6	-	cancer susceptibility 6	ncRNA
ODC1-DT	chr2	10541980	10542158	+	0	NA	Intergenic	Charlie7|DNA|hAT-Charlie	92341	NR_110597	101929715		NR_110597		ODC1-DT	lncRNA-MIF	ODC1 divergent transcript	ncRNA
EFHD2	chr1	15392638	15393014	+	0	NA	intron (NM_052929, intron 30 of 30)	intron (NM_052929, intron 30 of 30)	-17062	NM_024329	79180		NM_024329	ENSG00000142634	EFHD2	SWS1	EF-hand domain family member D2	protein-coding
SPIDR	chr8	47473061	47473941	+	0	NA	intron (NM_001352944, intron 5 of 13)	intron (NM_001352944, intron 5 of 13)	-180587	NM_001352959	23514		NM_001080394	ENSG00000164808	SPIDR	KIAA0146|ODG9	scaffold protein involved in DNA repair	protein-coding
LINC02024-3	chr3	117592231	117592869	+	0	NA	Intergenic	Intergenic	98375	NR_146652	105374057		NR_146652	ENSG00000241213	LINC02024	-	long intergenic non-protein coding RNA 2024	ncRNA
LINC01622	chr6	1104194	1104440	+	0	NA	Intergenic	Intergenic	-2985	NR_027116	285768		NR_027115	ENSG00000286785	LINC01622	-	long intergenic non-protein coding RNA 1622	ncRNA
IGSF11-AS1-2	chr3	118987376	118987927	+	0	NA	intron (NM_001353318, intron 1 of 7)	intron (NM_001353318, intron 1 of 7)	44575	NR_046230	100506765		NR_046230	ENSG00000239877	IGSF11-AS1	-	IGSF11 antisense RNA 1	ncRNA
CETP	chr16	56946831	56948338	+	0	NA	Intergenic	ERVL-B4-int|LTR|ERVL	-14366	NM_000078	1071		NM_000078	ENSG00000087237	CETP	BPIFF|HDLCQ10	cholesteryl ester transfer protein	protein-coding
LOC440982	chr3	147735572	147735914	+	0	NA	Intergenic	Intergenic	314416	NR_121655	440982		NR_121655		LOC440982	-	uncharacterized LOC440982	ncRNA
URI1	chr19	30028235	30028555	+	0	NA	Intergenic	L1MB7|LINE|L1	86156	NM_003796	8725		NM_003796	ENSG00000105176	URI1	C19orf2|NNX3|PPP1R19|RMP|URI	URI1 prefoldin like chaperone	protein-coding
PTPRB	chr12	70664137	70665308	+	0	NA	intron (NM_130846, intron 6 of 9)	intron (NM_130846, intron 6 of 9)	-27293	NM_001330204	5787		NM_002837	ENSG00000127329	PTPRB	HPTP-BETA|HPTPB|PTPB|R-PTP-BETA|VEPTP	protein tyrosine phosphatase receptor type B	protein-coding
LINC02873	chr11	130760187	130760951	+	0	NA	Intergenic	Intergenic	87613	NR_164144	283171		NM_001271983	ENSG00000175728	LINC02873	C11orf44	long intergenic non-protein coding RNA 2873	ncRNA
LGSN	chr6	63004016	63004377	+	0	NA	Intergenic	Intergenic	315781	NM_001143940	51557		NM_016571	ENSG00000146166	LGSN	GLULD1|LGS	lengsin, lens protein with glutamine synthetase domain	protein-coding
SNORA89	chr14	33459715	33460578	+	0	NA	intron (NM_173159, intron 4 of 11)	intron (NM_173159, intron 4 of 11)	-248791	NR_132771	106635522		NR_132771		SNORA89	-	small nucleolar RNA, H/ACA box 89	snoRNA
DISC1-IT1	chr1	232100848	232101657	+	0	NA	Intergenic	MIRb|SINE|MIR	175418	NR_126441	104472714		NR_126441	ENSG00000226758	DISC1-IT1	-	DISC1 intronic transcript 1	ncRNA
ARSB	chr5	78926258	78926487	+	0	NA	intron (NM_000046, intron 4 of 7)	intron (NM_000046, intron 4 of 7)	58938	NM_000046	411		NM_000046	ENSG00000113273	ARSB	ASB|G4S|MPS6	arylsulfatase B	protein-coding
-8	chrUn_KI270757v1	69342	69551	+	0	NA	NA	ALR/Alpha|Satellite|centr	NA	NA								
LOC101926908	chr8	72734741	72735241	+	0	NA	intron (NR_110656, intron 1 of 2)	intron (NR_110656, intron 1 of 2)	2946	NR_110656	101926908		NR_110656	ENSG00000253726	LOC101926908	-	uncharacterized LOC101926908	ncRNA
LSM11	chr5	157747248	157747974	+	0	NA	intron (NM_173491, intron 1 of 3)	intron (NM_173491, intron 1 of 3)	3899	NM_173491	134353		NM_173491	ENSG00000155858	LSM11	AGS8	LSM11, U7 small nuclear RNA associated	protein-coding
TMEM47	chrX	34578365	34578658	+	0	NA	Intergenic	Intergenic	78774	NM_031442	83604		NM_031442	ENSG00000147027	TMEM47	BCMP1|TM4SF10|VAB-9	transmembrane protein 47	protein-coding
TENM1	chrX	124827451	124827764	+	0	NA	intron (NM_001163279, intron 3 of 31)	intron (NM_001163279, intron 3 of 31)	136210	NM_001163278	10178		NM_014253	ENSG00000009694	TENM1	ODZ1|ODZ3|TEN-M1|TEN1|TNM|TNM1|ten-1	teneurin transmembrane protein 1	protein-coding
LINC01366	chr5	170339888	170340593	+	0	NA	Intergenic	LTR85a|LTR|Gypsy?	8847	NR_108024	257358		NM_001025454	ENSG00000235172	LINC01366	-	long intergenic non-protein coding RNA 1366	ncRNA
EPHA7	chr6	92762217	92763370	+	0	NA	Intergenic	Intergenic	654367	NM_001376470	2045		NM_004440	ENSG00000135333	EPHA7	EHK-3|EHK3|EK11|HEK11	EPH receptor A7	protein-coding
MIR4776-2	chr2	213023022	213023220	+	0	NA	intron (NM_001371277, intron 5 of 6)	intron (NM_001371277, intron 5 of 6)	-96785	NR_039936	100616472		NR_039936	ENSG00000283637	MIR4776-2	mir-4776-2	microRNA 4776-2	ncRNA
HMBOX1	chr8	28984480	28984720	+	0	NA	intron (NM_001324391, intron 4 of 10)	intron (NM_001324391, intron 4 of 10)	93286	NM_001324388	79618		NM_024567	ENSG00000147421	HMBOX1	HNF1LA|HOT1|PBHNF|TAH1	homeobox containing 1	protein-coding
CD2AP	chr6	47471943	47472279	+	0	NA	Intergenic	L1MA3|LINE|L1	-5678	NM_012120	23607		NM_012120	ENSG00000198087	CD2AP	CMS	CD2 associated protein	protein-coding
NREP	chr5	111752489	111752773	+	0	NA	intron (NM_001142474, intron 2 of 3)	intron (NM_001142474, intron 2 of 3)	3620	NM_001142483	9315		NM_004772	ENSG00000134986	NREP	C5orf13|D4S114|P311|PRO1873|PTZ17|SEZ17	neuronal regeneration related protein	protein-coding
ARL14-2	chr3	160709317	160710073	+	0	NA	Intergenic	Intergenic	32535	NM_025047	80117		NM_025047	ENSG00000179674	ARL14	ARF7	ADP ribosylation factor like GTPase 14	protein-coding
ZDHHC21	chr9	14618936	14619474	+	0	NA	intron (NM_178566, intron 9 of 9)	intron (NM_178566, intron 9 of 9)	74227	NM_001354118	340481		NM_178566	ENSG00000175893	ZDHHC21	DHHC-21|DHHC21|DNZ1|HSPC097	zinc finger DHHC-type palmitoyltransferase 21	protein-coding
LINC02421-2	chr12	67697279	67698119	+	0	NA	Intergenic	MER58A|DNA|hAT-Charlie	31776	NR_110063	101927901		NR_110063	ENSG00000255970	LINC02421	-	long intergenic non-protein coding RNA 2421	ncRNA
ATP8B1	chr18	57854807	57855322	+	0	NA	Intergenic	Intergenic	-51749	NM_001374386	5205		NM_005603	ENSG00000081923	ATP8B1	ATPIC|BRIC|FIC1|ICP1|PFIC|PFIC1	ATPase phospholipid transporting 8B1	protein-coding
LOC105375713	chr8	116525741	116526274	+	0	NA	Intergenic	MamRTE1|LINE|RTE-BovB	-126093	NR_136278	105375713		NR_136278	ENSG00000289382	LOC105375713	-	uncharacterized LOC105375713	ncRNA
ITGA1	chr5	52605564	52606270	+	0	NA	Intergenic	Intergenic	-181999	NM_015946	53918		NM_015946	ENSG00000152684	PELO	CGI-17|PRO1770	pelota mRNA surveillance and ribosome rescue factor	protein-coding
LINC02992	chr2	114034498	114035144	+	0	NA	Intergenic	L1MB2|LINE|L1	-54837	NR_034130	100499194		NR_034130		LINC02992	-	long intergenic non-protein coding RNA 2992	ncRNA
CNTN5-2	chr11	98068128	98068678	+	0	NA	Intergenic	MER61-int|LTR|ERV1	-952546	NM_001243270	53942		NM_014361	ENSG00000149972	CNTN5	HNB-2s|NB-2	contactin 5	protein-coding
SNORA89-2	chr14	33706098	33706456	+	0	NA	intron (NM_173159, intron 6 of 11)	intron (NM_173159, intron 6 of 11)	-2660	NR_132771	106635522		NR_132771		SNORA89	-	small nucleolar RNA, H/ACA box 89	snoRNA
DPP10	chr2	116467166	116467885	+	0	NA	Intergenic	Intergenic	1123710	NM_001321913	57628		NM_020868	ENSG00000175497	DPP10	DPL2|DPPY|DPRP-3|DPRP3	dipeptidyl peptidase like 10	protein-coding
SNORA70E	chr11	83047710	83047909	+	0	NA	intron (NM_014488, intron 1 of 5)	intron (NM_014488, intron 1 of 5)	-6211	NR_033347	100379250		NR_033347	ENSG00000207221	SNORA70E	U70E	small nucleolar RNA, H/ACA box 70E	snoRNA
LOC101929551	chr2	7891342	7891698	+	0	NA	intron (NR_110256, intron 3 of 5)	L1M4|LINE|L1	8135	NR_110256	101929551		NR_110256	ENSG00000226506	LOC101929551	-	uncharacterized LOC101929551	ncRNA
LINC02113-3	chr5	99398853	99399548	+	0	NA	Intergenic	Intergenic	-134790	NR_110562	102724855		NR_110562		LINC02113	CTD-2151A2.1	long intergenic non-protein coding RNA 2113	ncRNA
TRAT1	chr3	108847385	108847556	+	0	NA	intron (NM_001317747, intron 3 of 4)	intron (NM_001317747, intron 3 of 4)	24684	NM_016388	50852		NM_016388	ENSG00000163519	TRAT1	HSPC062|TCRIM|TRIM|pp29/30	T cell receptor associated transmembrane adaptor 1	protein-coding
GJA1-2	chr6	121689020	121689249	+	0	NA	Intergenic	Intergenic	253488	NM_000165	2697		NM_000165	ENSG00000152661	GJA1	AVSD3|CMDR|CX43|EKVP|EKVP3|GJAL|HLHS1|HSS|ODDD|PPKCA	gap junction protein alpha 1	protein-coding
EPHA4-2	chr2	221449259	221450068	+	0	NA	intron (NM_004438, intron 8 of 17)	intron (NM_004438, intron 8 of 17)	122641	NM_001304537	2043		NM_004438	ENSG00000116106	EPHA4	EK8|HEK8|SEK|TYRO1	EPH receptor A4	protein-coding
ALPK2	chr18	58639390	58640257	+	0	NA	Intergenic	Intergenic	-10732	NM_052947	115701		NM_052947	ENSG00000198796	ALPK2	HAK	alpha kinase 2	protein-coding
LINC00682	chr4	41858940	41859621	+	0	NA	Intergenic	Intergenic	23331	NR_104143	101927074		NR_104143	ENSG00000245870	LINC00682	-	long intergenic non-protein coding RNA 682	ncRNA
SPATA24	chr5	139419691	139420246	+	0	NA	intron (NM_152686, intron 7 of 7)	intron (NM_152686, intron 7 of 7)	-15879	NM_194296	202051		NM_194296	ENSG00000170469	SPATA24	CCDC161|T6441	spermatogenesis associated 24	protein-coding
LINC00879	chr3	95171977	95173018	+	0	NA	Intergenic	Intergenic	234234	NR_015400	255025		NR_015400	ENSG00000239589	LINC00879	-	long intergenic non-protein coding RNA 879	ncRNA
LOC101929563	chr9	23594340	23594923	+	0	NA	intron (NR_121602, intron 11 of 27)	intron (NR_121602, intron 11 of 27)	77768	NR_121602	101929563		NR_121602	ENSG00000283982	LOC101929563	-	uncharacterized LOC101929563	ncRNA
-9	chrUn_KI270438v1	21411	22207	+	0	NA	NA	ALR/Alpha|Satellite|centr	NA	NA								
TMEM161B	chr5	88092330	88093590	+	0	NA	Intergenic	Intergenic	175885	NM_153354	153396		NM_153354	ENSG00000164180	TMEM161B	FLB3342|PRO1313	transmembrane protein 161B	protein-coding
ATRN	chr20	3451920	3452986	+	0	NA	Intergenic	Intergenic	-18565	NM_139322	8455		NM_012070	ENSG00000088812	ATRN	DPPT-L|MGCA	attractin	protein-coding
DDHD1-DT-2	chr14	53525396	53526072	+	0	NA	Intergenic	LTR16E2|LTR|ERVL	372380	NR_110062	101927620		NR_110062	ENSG00000258731	DDHD1-DT	-	DDHD1 divergent transcript	ncRNA
NLGN1-AS1	chr3	174006023	174007162	+	0	NA	intron (NM_001365925, intron 4 of 6)	intron (NM_001365925, intron 4 of 6)	-85796	NR_046664	100874010		NR_046664	ENSG00000228213	NLGN1-AS1	-	NLGN1 antisense RNA 1	ncRNA
LINC00114	chr21	38767577	38767845	+	0	NA	intron (NR_027065, intron 1 of 6)	intron (NR_027065, intron 1 of 6)	1263	NR_027066	400866		NM_001001789	ENSG00000223806	LINC00114	C21orf24|NCRNA00114	long intergenic non-protein coding RNA 114	ncRNA
MIRLET7I	chr12	62659476	62659836	+	0	NA	intron (NM_020700, intron 9 of 9)	A-rich|Low_complexity|Low_complexity	55970	NR_029661	406891		NR_029661	ENSG00000199179	MIRLET7I	LET7I|MIRNLET7I|hsa-let-7i|let-7i	microRNA let-7i	ncRNA
STX18	chr4	4520956	4521507	+	0	NA	intron (NM_001346282, intron 1 of 10)	intron (NM_001346282, intron 1 of 10)	20817	NM_001346281	53407		NM_016930	ENSG00000168818	STX18	Ufe1	syntaxin 18	protein-coding
SYNE1	chr6	151995951	151996466	+	0	NA	intron (NM_001385572, intron 4 of 6)	intron (NM_001385572, intron 4 of 6)	172079	NM_001347702	23345		NM_015293	ENSG00000131018	SYNE1	8B|AMC3|AMCM|ARCA1|C6orf98|CPG2|EDMD4|KASH1|MYNE1|Nesp1|SCAR8|dJ45H2.2	spectrin repeat containing nuclear envelope protein 1	protein-coding
SWT1	chr1	185193597	185194136	+	0	NA	intron (NM_017673, intron 10 of 18)	L1MEc|LINE|L1	36699	NM_017673	54823		NM_017673	ENSG00000116668	SWT1	C1orf26|HsSwt1	SWT1 RNA endoribonuclease homolog	protein-coding
DNM3OS	chr1	172278336	172279011	+	0	NA	intron (NM_001350204, intron 16 of 20)	intron (NM_001350204, intron 16 of 20)	-133838	NR_038397	100628315		NR_038397		DNM3OS	DNM3-AS1|MIR199A2HG	DNM3 opposite strand/antisense RNA	ncRNA
MRPS28	chr8	80018441	80018804	+	0	NA	intron (NM_014018, intron 1 of 2)	L1MA3|LINE|L1	11637	NM_014018	28957		NM_014018	ENSG00000147586	MRPS28	COXPD47|HSPC007|MRP-S28|MRP-S35|MRPS35	mitochondrial ribosomal protein S28	protein-coding
ANK2	chr4	113064327	113064541	+	0	NA	intron (NM_001354225, intron 1 of 46)	intron (NM_001354225, intron 1 of 46)	14781	NM_001148	287		NM_001148	ENSG00000145362	ANK2	ANK-2|CFAP87|FAP87|LQT4|brank-2	ankyrin 2	protein-coding
FEZF1	chr7	122415900	122416726	+	0	NA	intron (NM_017954, intron 17 of 29)	intron (NM_017954, intron 17 of 29)	-111563	NM_001024613	389549		NM_001024613	ENSG00000128610	FEZF1	FEZ|HH22|ZNF312B	FEZ family zinc finger 1	protein-coding
LOC101928166	chr3	152082935	152083627	+	0	NA	Intergenic	Intergenic	122148	NR_136178	101928166		NR_136178		LOC101928166	-	uncharacterized LOC101928166	ncRNA
EXOC6B-2	chr2	72710581	72710983	+	0	NA	intron (NR_135773, intron 6 of 21)	intron (NR_135773, intron 6 of 21)	115251	NM_001321729	23233		NM_015189	ENSG00000144036	EXOC6B	SEC15B|SEC15L2|SEMDJL3	exocyst complex component 6B	protein-coding
EDNRB-AS1	chr13	77832519	77833836	+	0	NA	intron (NR_103853, intron 4 of 6)	intron (NR_103853, intron 4 of 6)	14240	NR_103853	100505518		NR_103853		EDNRB-AS1	-	EDNRB antisense RNA 1	ncRNA
UGT8	chr4	114601557	114602004	+	0	NA	intron (NM_001322114, intron 1 of 5)	Tigger15a|DNA|TcMar-Tigger	2495	NM_001322114	7368		NM_003360	ENSG00000174607	UGT8	CGT|UGT4	UDP glycosyltransferase 8	protein-coding
LINC01298	chr8	95179757	95180170	+	0	NA	Intergenic	Intergenic	36411	NR_046232	619344		NR_046232	ENSG00000253351	LINC01298	C8orf69	long intergenic non-protein coding RNA 1298	ncRNA
PDE3A-4	chr12	20602681	20603511	+	0	NA	intron (NM_001378409, intron 1 of 14)	intron (NM_001378409, intron 1 of 14)	31017	NM_001378409	5139		NM_000921	ENSG00000172572	PDE3A	CGI-PDE|CGI-PDE A|CGI-PDE-A|HTNB	phosphodiesterase 3A	protein-coding
LOC101928936-2	chr6	88463453	88464024	+	0	NA	Intergenic	MamRTE1|LINE|RTE-BovB	75631	NR_110867	101928936		NR_110867		LOC101928936	-	uncharacterized LOC101928936	ncRNA
PRKD1-2	chr14	30082335	30082773	+	0	NA	Intergenic	Intergenic	-154707	NM_001330069	5587		NM_002742	ENSG00000184304	PRKD1	CHDED|PKC-MU|PKCM|PKD|PRKCM	protein kinase D1	protein-coding
MIR125B2-2	chr21	16751616	16752337	+	0	NA	Intergenic	Intergenic	161739	NR_029694	406912		NR_029694	ENSG00000207863	MIR125B2	MIRN125B2|mir-125b-2	microRNA 125b-2	ncRNA
EPC2	chr2	148666958	148667970	+	0	NA	intron (NM_015630, intron 1 of 13)	L1ME1|LINE|L1	22713	NM_015630	26122		NM_015630	ENSG00000135999	EPC2	EPC-LIKE	enhancer of polycomb homolog 2	protein-coding
HSPA4	chr5	133081077	133081852	+	0	NA	intron (NM_002154, intron 7 of 18)	intron (NM_002154, intron 7 of 18)	29451	NM_002154	3308		NM_002154	ENSG00000170606	HSPA4	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	heat shock protein family A (Hsp70) member 4	protein-coding
FBXO15	chr18	74126636	74127572	+	0	NA	intron (NM_001142958, intron 5 of 9)	intron (NM_001142958, intron 5 of 9)	20730	NM_152676	201456		NM_152676	ENSG00000141665	FBXO15	FBX15	F-box protein 15	protein-coding
C1QTNF3	chr5	34372897	34373177	+	0	NA	Intergenic	Intergenic	-128313	NR_146599	114899		NM_030945	ENSG00000082196	C1QTNF3	C1ATNF3|CORCS|CORS|CORS-26|CORS26|CTRP3	C1q and TNF related 3	protein-coding
PPP1R21	chr2	48391905	48392107	+	0	NA	Intergenic	L1ME2|LINE|L1	-48760	NM_152994	129285		NM_152994	ENSG00000162869	PPP1R21	CCDC128|FERRY2|Fy-2|KLRAQ1|NEDHFBA	protein phosphatase 1 regulatory subunit 21	protein-coding
CHSY3-3	chr5	130227469	130228057	+	0	NA	Intergenic	LTR16D2|LTR|ERVL	323298	NM_175856	337876		NM_175856	ENSG00000198108	CHSY3	CHSY2|CSS3	chondroitin sulfate synthase 3	protein-coding
IQGAP2	chr5	76388770	76390217	+	0	NA	Intergenic	AluSx|SINE|Alu	-13792	NM_006633	10788		NM_006633	ENSG00000145703	IQGAP2	-	IQ motif containing GTPase activating protein 2	protein-coding
MIR1243	chr4	113086174	113087241	+	0	NA	intron (NM_001354225, intron 1 of 46)	L2a|LINE|L2	-20156	NR_031641	100302188		NR_031641	ENSG00000283193	MIR1243	MIRN1243|hsa-mir-1243	microRNA 1243	ncRNA
PLA2G2E	chr1	19916859	19917209	+	0	NA	Intergenic	MIRb|SINE|MIR	6583	NM_014589	30814		NM_014589	ENSG00000188784	PLA2G2E	GIIE sPLA2|sPLA2-IIE	phospholipase A2 group IIE	protein-coding
LINC01592	chr8	68925252	68926043	+	0	NA	intron (NR_039986, intron 3 of 4)	intron (NR_039986, intron 3 of 4)	178543	NR_039986	100505718		NR_039986	ENSG00000253658	LINC01592	-	long intergenic non-protein coding RNA 1592	ncRNA
