PeakID (cmd=annotatePeaks.pl results/tmp hg38 -annStats results/merged.p-3.anno.stats -go results/results/merged.p-3.go)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
C16_NA_LUT_Up-1478	chr8	132950298	132951002	+	0	NA	intron (NM_003235, intron 27 of 47)	MIR|SINE|MIR	83692	NM_003235	7038		NM_003235	ENSG00000042832	TG	AITD3|TGN	thyroglobulin	protein-coding
C16_NA_LUT_Up-14	chr1	146688673	146689125	+	0	NA	intron (NR_103556, intron 25 of 55)	intron (NR_103556, intron 25 of 55)	202567	NR_103556	100288805		NR_049745		HYDIN2	HYDINP1	HYDIN axonemal central pair apparatus protein 2 (pseudogene)	pseudo
C16_Up_LUT_Up-350	chr7	11716242	11716688	+	0	NA	intron (NM_015204, intron 1 of 26)	intron (NM_015204, intron 1 of 26)	115733	NM_015204	221981		NM_015204	ENSG00000005108	THSD7A	-	thrombospondin type 1 domain containing 7A	protein-coding
C16_Up_LUT_NA-34	chr1	24283731	24284699	+	0	NA	Intergenic	Intergenic	-35142	NM_001195010	57822		NM_021180	ENSG00000158055	GRHL3	SOM|TFCP2L4|VWS2	grainyhead like transcription factor 3	protein-coding
C16_NA_LUT_Up-51	chr1	218479859	218480446	+	0	NA	intron (NR_031644, intron 2 of 6)	intron (NR_031644, intron 2 of 6)	-29943	NR_146760	440714		NR_146760	ENSG00000228208	LINC02869	C1orf143	long intergenic non-protein coding RNA 2869	ncRNA
C16_NA_LUT_Up-1361	chr7	131159980	131161083	+	0	NA	intron (NM_001145354, intron 2 of 18)	(TTA)n|Simple_repeat|Simple_repeat	50437	NM_001145354	4289		NM_013255	ENSG00000128585	MKLN1	TWA2	muskelin 1	protein-coding
C16_NA_LUT_Up-995	chr4	29853765	29854478	+	0	NA	Intergenic	Intergenic	639829	NR_146996	105374561		NR_146996	ENSG00000248338	LINC02472	-	long intergenic non-protein coding RNA 2472	ncRNA
C16_NA_LUT_Up-739	chr22	26001982	26002712	+	0	NA	intron (NM_001318245, intron 40 of 43)	intron (NM_001318245, intron 40 of 43)	-167115	NM_001184773	23544		NM_021115	ENSG00000100095	SEZ6L	SEZ6L1	seizure related 6 homolog like	protein-coding
C16_Up_LUT_NA-612	chr6	82084301	82084861	+	0	NA	intron (NR_149135, intron 1 of 3)	intron (NR_149135, intron 1 of 3)	17184	NR_149135	102724168		NR_149134		LINC02542	-	long intergenic non-protein coding RNA 2542	ncRNA
C16_Up_LUT_NA-23	chr1	213523903	213524395	+	0	NA	Intergenic	Intergenic	-400600	NR_046189	100861504		NR_046189		LINC00538	PROX1UT|Yiya	long intergenic non-protein coding RNA 538	ncRNA
C16_NA_LUT_Up-1317	chr6	69338961	69339843	+	0	NA	exon (NM_001704, exon 26 of 32)	exon (NM_001704, exon 26 of 32)	457064	NM_001363722	55788		NM_018368	ENSG00000168216	LMBRD1	C6orf209|LMBD1|MAHCF|NESI	LMBR1 domain containing 1	protein-coding
C16_NA_LUT_Up-1140	chr5	18088069	18088366	+	0	NA	Intergenic	L2b|LINE|L2	280943	NR_134286	646241		NR_134286		LINC02223	-	long intergenic non-protein coding RNA 2223	ncRNA
C16_Up_LUT_NA-548	chr5	19927855	19929514	+	0	NA	intron (NM_001349562, intron 2 of 13)	intron (NM_001349562, intron 2 of 13)	-42412	NM_001291957	1016		NM_004934	ENSG00000145526	CDH18	CDH14|CDH14L|CDH24	cadherin 18	protein-coding
C16_Up_LUT_NA-610	chr6	65116338	65116581	+	0	NA	intron (NM_001292009, intron 12 of 43)	intron (NM_001292009, intron 12 of 43)	-184959	NM_001271675	441155		NM_001271675	ENSG00000214558	ZC3H11C	-	zinc finger CCCH-type containing 11C	protein-coding
C16_NA_LUT_Up-318	chr13	55553714	55554091	+	0	NA	Intergenic	Intergenic	379448	NR_049804	100846996		NR_049804	ENSG00000264387	MIR5007	-	microRNA 5007	ncRNA
C16_NA_LUT_Up-754	chr3	110904222	110904933	+	0	NA	Intergenic	L2a|LINE|L2	165382	NR_045114	100506555		NR_045114		NECTIN3-AS1	PVRL3-AS1	NECTIN3 antisense RNA 1	ncRNA
C16_Up_LUT_NA-118	chr12	10573028	10573396	+	0	NA	intron (NR_146456, intron 2 of 2)	L2c|LINE|L2	19833	NR_146456	101060038		NR_146455	ENSG00000256039	LINC02446	-	long intergenic non-protein coding RNA 2446	ncRNA
C16_NA_LUT_Up-1011	chr4	59148989	59149820	+	0	NA	Intergenic	Intergenic	135831	NR_133942	105377247		NR_133941	ENSG00000251266	LINC02429	-	long intergenic non-protein coding RNA 2429	ncRNA
C16_NA_LUT_Up-856	chr3	55934960	55935771	+	0	NA	intron (NM_015576, intron 12 of 16)	intron (NM_015576, intron 12 of 16)	-82771	NR_037502	100500875		NR_037502	ENSG00000264013	MIR3938	-	microRNA 3938	ncRNA
C16_NA_LUT_Up-1564	chr9	14618935	14619474	+	0	NA	intron (NM_178566, intron 9 of 9)	intron (NM_178566, intron 9 of 9)	74228	NR_148716	340481		NM_178566	ENSG00000175893	ZDHHC21	DHHC-21|DHHC21|DNZ1|HSPC097	zinc finger DHHC-type palmitoyltransferase 21	protein-coding
C16_Up_LUT_NA-133	chr12	28576814	28577632	+	0	NA	Intergenic	Intergenic	-386485	NR_148936	729291		NR_148936		LOC729291	-	uncharacterized LOC729291	ncRNA
C16_NA_LUT_Up-106	chr1	95430515	95430875	+	0	NA	Intergenic	Intergenic	-44042	NR_033966	440594		NR_033966	ENSG00000233907	LINC01761	-	long intergenic non-protein coding RNA 1761	ncRNA
C16_Up_LUT_NA-573	chr5	87722383	87722682	+	0	NA	Intergenic	Intergenic	60490	NR_149089	111082994		NR_149089	ENSG00000249362	LINC02488	CTD-2316B1	long intergenic non-protein coding RNA 2488	ncRNA
C16_NA_LUT_Up-827	chr3	178237974	178238732	+	0	NA	Intergenic	MER5A|DNA|hAT-Charlie	-180848	NR_046786	100874330		NR_046786	ENSG00000223941	LINC01014	KCNMB2-IT1	long intergenic non-protein coding RNA 1014	ncRNA
C16_NA_LUT_Up-1274	chr6	164014831	164015748	+	0	NA	Intergenic	Intergenic	-343805	NR_134620	102724152		NR_134620		LOC102724152	-	uncharacterized LOC102724152	ncRNA
C16_Up_LUT_NA-507	chr4	92863837	92864657	+	0	NA	intron (NM_001286838, intron 2 of 14)	MamGypsy2-I|LTR|Gypsy	559848	NM_001286838	2895		NM_001510	ENSG00000152208	GRID2	GluD2|SCAR18	glutamate ionotropic receptor delta type subunit 2	protein-coding
C16_Up_LUT_NA-752	chr9	7185750	7186362	+	0	NA	Intergenic	Intergenic	428083	NM_001304341	23081		NM_015061	ENSG00000107077	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine demethylase 4C	protein-coding
C16_NA_LUT_Up-225	chr12	19025639	19026960	+	0	NA	Intergenic	AluJr|SINE|Alu	-103434	NM_001190860	54477		NM_019012	ENSG00000052126	PLEKHA5	PEPP-2|PEPP2	pleckstrin homology domain containing A5	protein-coding
C16_Up_LUT_NA-306	chr2	212282795	212283297	+	0	NA	intron (NM_005235, intron 1 of 27)	intron (NM_005235, intron 1 of 27)	143314	NR_031643	100313771		NR_031643	ENSG00000221782	MIR548F2	MIR548F-2|MIRN548F2|hsa-mir-548f-2	microRNA 548f-2	ncRNA
C16_NA_LUT_Up-333	chr13	71986925	71987334	+	0	NA	Intergenic	L1PA17|LINE|L1	-119925	NM_001366712	1602		NM_004392	ENSG00000276644	DACH1	DACH	dachshund family transcription factor 1	protein-coding
C16_NA_LUT_Up-614	chr2	183258347	183258903	+	0	NA	Intergenic	HAL1M8|LINE|L1	134182	NM_138285	129401		NM_138285	ENSG00000163002	NUP35	MP-44|MP44|NP44|NUP53	nucleoporin 35	protein-coding
C16_Up_LUT_NA-241	chr18	37574234	37574424	+	0	NA	Intergenic	Intergenic	-8531	NM_001353718	56853		NM_020180	ENSG00000101489	CELF4	BRUNOL4|CELF-4	CUGBP Elav-like family member 4	protein-coding
C16_Up_LUT_Up-74	chr13	107079791	107080091	+	0	NA	Intergenic	MIRb|SINE|MIR	241022	NR_145739	109616978		NR_145739	ENSG00000201847	SNORD31B	-	small nucleolar RNA, C/D box 31B	snoRNA
C16_Up_LUT_NA-750	chr9	7165042	7165811	+	0	NA	intron (NR_148677, intron 20 of 21)	intron (NR_148677, intron 20 of 21)	407453	NM_001304341	23081		NM_015061	ENSG00000107077	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine demethylase 4C	protein-coding
C16_Up_LUT_NA-644	chr7	7176483	7177085	+	0	NA	Intergenic	Intergenic	-5760	NM_020156	56913		NM_020156	ENSG00000106392	C1GALT1	C1GALT|T-synthase	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	protein-coding
C16_NA_LUT_Up-211	chr12	106387985	106388287	+	0	NA	intron (NM_018082, intron 9 of 27)	intron (NM_018082, intron 9 of 27)	30054	NM_001160708	55703		NM_018082	ENSG00000013503	POLR3B	C128|CMT1I|HLD8|INMAP|RPC2	RNA polymerase III subunit B	protein-coding
C16_NA_LUT_Up-1420	chr7	78389209	78389507	+	0	NA	intron (NM_012301, intron 6 of 21)	intron (NM_012301, intron 6 of 21)	42116	NR_003680	399670		NR_003680	ENSG00000293158	RPL13AP17	RPL13A_6_816	ribosomal protein L13a pseudogene 17	pseudo
C16_Up_LUT_Up-219	chr3	30565126	30565668	+	0	NA	Intergenic	Intergenic	-41105	NM_001024847	7048		NM_003242	ENSG00000163513	TGFBR2	AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TBR-ii|TBRII|TGFR-2|TGFbeta-RII|tbetaR-II	transforming growth factor beta receptor 2	protein-coding
C16_NA_LUT_Up-533	chr18	50680867	50682062	+	0	NA	intron (NM_002747, intron 2 of 5)	L1MB8|LINE|L1	121377	NM_001292039	5596		NM_002747	ENSG00000141639	MAPK4	ERK-4|ERK4|PRKM4|p63-MAPK|p63MAPK	mitogen-activated protein kinase 4	protein-coding
C16_Up_LUT_NA-506	chr4	91681657	91681851	+	0	NA	Intergenic	Intergenic	595548	NR_125920	101929194		NR_125920		LNCPRESS2	-	lncRNA p53 regulated and ESC associated 2	ncRNA
C16_NA_LUT_Up-173	chr11	16308798	16309322	+	0	NA	intron (NM_001145811, intron 3 of 14)	intron (NM_001145811, intron 3 of 14)	47486	NM_001367873	55553		NM_017508	ENSG00000110693	SOX6	HSSOX6|SOXD|TOLCAS	SRY-box transcription factor 6	protein-coding
C16_NA_LUT_Up-724	chr21	29989620	29990009	+	0	NA	Intergenic	L1MD2|LINE|L1	-49762	NM_001320630	2897		NM_000830	ENSG00000171189	GRIK1	EAA3|EEA3|GLR5|GLUR5|GluK1|gluR-5	glutamate ionotropic receptor kainate type subunit 1	protein-coding
C16_Up_LUT_NA-307	chr2	214477234	214477525	+	0	NA	intron (NM_001080500, intron 3 of 3)	intron (NM_001080500, intron 3 of 3)	-32803	NR_047698	100885780		NR_047698	ENSG00000224257	VWC2L-IT1	-	VWC2L intronic transcript 1	ncRNA
C16_NA_LUT_Up-107	chr1	99252464	99253426	+	0	NA	Intergenic	Intergenic	-11347	NM_001166252	9890		NM_014839	ENSG00000117600	PLPPR4	LPPR4|LPR4|PHP1|PRG-1|PRG1	phospholipid phosphatase related 4	protein-coding
C16_NA_LUT_Up-1614	chrUn_KI270435v1	64956	65395	+	0	NA	NA	ALR/Alpha|Satellite|centr	NA	NA								
C16_NA_LUT_Up-826	chr3	177714160	177714689	+	0	NA	intron (NR_047568, intron 3 of 3)	intron (NR_047568, intron 3 of 3)	-102441	NR_110826	102724550		NR_110826	ENSG00000231574	LINC02015	KCCAT211	long intergenic non-protein coding RNA 2015	ncRNA
C16_NA_LUT_Up-1400	chr7	40570329	40570556	+	0	NA	intron (NM_001193312, intron 11 of 12)	L2c|LINE|L2	409497	NR_110831	101928744		NR_110831	ENSG00000232458	LINC01450	-	long intergenic non-protein coding RNA 1450	ncRNA
C16_Up_LUT_Up-49	chr11	59247510	59248367	+	0	NA	Intergenic	Intergenic	-35011	NM_001039396	219972		NM_001039396	ENSG00000197629	MPEG1	IMD77|MPG1|MPS1|Mpg-1|P-2	macrophage expressed 1	protein-coding
C16_NA_LUT_Up-1264	chr6	151258035	151258441	+	0	NA	intron (NM_005100, intron 2 of 4)	intron (NM_005100, intron 2 of 4)	18271	NM_005100	9590		NM_005100	ENSG00000131016	AKAP12	AKAP250|SSeCKS	A-kinase anchoring protein 12	protein-coding
C16_Up_LUT_NA-373	chr3	10768721	10769281	+	0	NA	Intergenic	MamTip2|DNA|hAT-Tip100	-4792	NR_027102	285370		NR_027102	ENSG00000226567	LINC00606	-	long intergenic non-protein coding RNA 606	ncRNA
C16_NA_LUT_Up-861	chr3	60907944	60908861	+	0	NA	intron (NR_148922, intron 3 of 3)	intron (NR_148922, intron 3 of 3)	-290532	NR_128708	103504735		NR_128708	ENSG00000281426	MIR548BB	MI0029321|hsa-mir-548bb	microRNA 548bb	ncRNA
C16_NA_LUT_Up-148	chr10	78639507	78639897	+	0	NA	Intergenic	L2a|LINE|L2	372360	NR_073447	414243		NR_073447	ENSG00000230417	LINC00595	C10orf101	long intergenic non-protein coding RNA 595	ncRNA
C16_NA_LUT_Up-857	chr3	56476496	56477141	+	0	NA	Intergenic	MLT1O|LTR|ERVL-MaLR	-8351	NR_132749	26059		NM_015576	ENSG00000187672	ERC2	CAST|CAST1|ELKSL|SPBC110|Spc110	ELKS/RAB6-interacting/CAST family member 2	protein-coding
C16_NA_LUT_Up-1574	chr9	23689160	23690137	+	0	NA	TTS (NM_001171195)	TTS (NM_001171195)	-17249	NR_121602	101929563		NR_121602	ENSG00000283982	LOC101929563	-	uncharacterized LOC101929563	ncRNA
C16_NA_LUT_Up-518	chr18	31482077	31482265	+	0	NA	Intergenic	Intergenic	-16006	NM_001943	1829		NM_001943	ENSG00000046604	DSG2	CDHF5|HDGC	desmoglein 2	protein-coding
C16_Up_LUT_NA-722	chr9	108083216	108083762	+	0	NA	Intergenic	Intergenic	-593720	NM_001314052	9314		NM_004235	ENSG00000136826	KLF4	EZF|GKLF	KLF transcription factor 4	protein-coding
C16_NA_LUT_Up-640	chr2	216355725	216356158	+	0	NA	intron (NM_020814, intron 1 of 3)	intron (NM_020814, intron 1 of 3)	16542	NM_020814	57574		NM_020814	ENSG00000144583	MARCHF4	MARCH-IV|MARCH4|RNF174	membrane associated ring-CH-type finger 4	protein-coding
C16_Up_LUT_NA-348	chr20	2022075	2022778	+	0	NA	Intergenic	Intergenic	-28141	NM_001190899	5173		NM_024411	ENSG00000101327	PDYN	ADCA|PENKB|SCA23	prodynorphin	protein-coding
C16_NA_LUT_Up-255	chr12	62659475	62659836	+	0	NA	intron (NM_020700, intron 9 of 9)	A-rich|Low_complexity|Low_complexity	55969	NR_029661	406891		NR_029661	ENSG00000199179	MIRLET7I	LET7I|MIRNLET7I|hsa-let-7i|let-7i	microRNA let-7i	ncRNA
C16_NA_LUT_Up-46	chr1	202324738	202325225	+	0	NA	Intergenic	MLT1M|LTR|ERVL-MaLR	16955	NM_014176	29089		NM_014176	ENSG00000077152	UBE2T	FANCT|HSPC150|PIG50	ubiquitin conjugating enzyme E2 T	protein-coding
C16_Up_LUT_NA-779	chrX	22652670	22653007	+	0	NA	intron (NR_073010, intron 4 of 11)	intron (NR_073010, intron 4 of 11)	-347122	NM_182699	168400		NM_182699	ENSG00000184735	DDX53	CAGE|CT26	DEAD-box helicase 53	protein-coding
C16_NA_LUT_Down-18	chr16	4574924	4575662	+	0	NA	exon (NM_001145011, exon 5 of 16)	exon (NM_001145011, exon 5 of 16)	18803	NM_001145011	342346		NM_001145011	ENSG00000205832	C16orf96	-	chromosome 16 open reading frame 96	protein-coding
C16_NA_LUT_Up-27	chr1	173187477	173187995	+	0	NA	intron (NM_001297562, intron 2 of 2)	intron (NM_001297562, intron 2 of 2)	17796	NM_001297562	7292		NM_003326	ENSG00000117586	TNFSF4	CD134L|CD252|GP34|OX-40L|OX4OL|TNLG2B|TXGP1	TNF superfamily member 4	protein-coding
C16_NA_LUT_Up-899	chr4	109087015	109087215	+	0	NA	intron (NM_198721, intron 3 of 36)	intron (NM_198721, intron 3 of 36)	215543	NM_001256074	84570		NM_032518	ENSG00000188517	COL25A1	AMY|CFEOM5|CLAC|CLAC-P|CLACP	collagen type XXV alpha 1 chain	protein-coding
C16_Up_LUT_NA-720	chr9	104791736	104792056	+	0	NA	intron (NM_005502, intron 43 of 49)	intron (NM_005502, intron 43 of 49)	27767	NM_018376	55335		NM_018376	ENSG00000165028	NIPSNAP3B	FP944|NIPSNAP3|SNAP1	nipsnap homolog 3B	protein-coding
C16_NA_LUT_Up-642	chr2	221196517	221197914	+	0	NA	Intergenic	Intergenic	375089	NM_001304537	2043		NM_004438	ENSG00000116106	EPHA4	EK8|HEK8|SEK|TYRO1	EPH receptor A4	protein-coding
C16_Up_LUT_NA-232	chr17	9512496	9512738	+	0	NA	intron (NR_033656, intron 2 of 5)	AluSg|SINE|Alu	63203	NM_004853	9482		NM_004853	ENSG00000170310	STX8	CARB	syntaxin 8	protein-coding
C16_NA_LUT_Up-1339	chr6	98136205	98137695	+	0	NA	Intergenic	Intergenic	112419	NR_031579	100302164		NR_031579	ENSG00000238367	MIR2113	hsa-mir-2113	microRNA 2113	ncRNA
C16_Up_LUT_Up-215	chr3	193229728	193230860	+	0	NA	Intergenic	Intergenic	-10928	NM_001366112	57110		NM_020386	ENSG00000127252	PLAAT1	A-C1|H-REV107|HRASLS|HRASLS1|HRSL1|HSD28|PLA/AT1|PLAAT-1	phospholipase A and acyltransferase 1	protein-coding
C16_Up_LUT_NA-61	chr10	37572235	37572553	+	0	NA	Intergenic	Intergenic	30537	NM_001190489	100288485		NM_001190489		MTRNR2L7	HN7	MT-RNR2 like 7 (pseudogene)	pseudo
C16_Up_LUT_NA-230	chr17	65742594	65743003	+	0	NA	intron (NR_126542, intron 2 of 5)	intron (NR_126542, intron 2 of 5)	83653	NM_001037325	201134		NM_145036	ENSG00000154240	CEP112	CCDC46|MACOCO|SPGF44	centrosomal protein 112	protein-coding
C16_Up_LUT_Up-267	chr4	67325703	67326258	+	0	NA	Intergenic	Intergenic	96020	NR_110747	101927237		NR_110747	ENSG00000250075	LOC101927237	-	uncharacterized LOC101927237	ncRNA
C16_NA_LUT_Up-927	chr4	12616157	12616992	+	0	NA	Intergenic	ERV3-16A3_LTR|LTR|ERVL	393123	NR_125910	101929019		NR_125910	ENSG00000251210	LINC02270	-	long intergenic non-protein coding RNA 2270	ncRNA
C16_Up_LUT_Up-403	chr8	91831967	91832139	+	0	NA	Intergenic	Intergenic	185627	NM_175636	862		NM_004349	ENSG00000079102	RUNX1T1	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	RUNX1 partner transcriptional co-repressor 1	protein-coding
C16_NA_LUT_Up-956	chr4	149951063	149951797	+	0	NA	Intergenic	Intergenic	-127015	NR_036614	166614		NM_152619	ENSG00000170390	DCLK2	CL2|CLICK-II|CLICK2|CLIK2|DCAMKL2|DCDC3|DCDC3B|DCK2	doublecortin like kinase 2	protein-coding
C16_Up_LUT_NA-75	chr10	82813863	82814795	+	0	NA	intron (NM_001370081, intron 3 of 8)	intron (NM_001370081, intron 3 of 8)	-581409	NR_120666	101929590		NR_120666	ENSG00000225738	NRG3-AS1	C10orf100|Em:AC010157.1	NRG3 antisense RNA 1	ncRNA
C16_Up_LUT_Up-251	chr4	20337280	20337739	+	0	NA	intron (NM_001289136, intron 4 of 35)	THE1B|LTR|ERVL-MaLR	-54680	NR_037876	100505893		NR_037876	ENSG00000248228	SLIT2-IT1	-	SLIT2 intronic transcript 1	ncRNA
C16_NA_LUT_Up-1407	chr7	52948697	52949711	+	0	NA	Intergenic	L1MC2|LINE|L1	-86429	NM_182595	285877		NM_182595	ENSG00000221900	POM121L12	-	POM121 transmembrane nucleoporin like 12	protein-coding
C16_NA_LUT_Up-259	chr12	67730835	67731721	+	0	NA	Intergenic	Intergenic	-1803	NR_110063	101927901		NR_110063	ENSG00000255970	LINC02421	-	long intergenic non-protein coding RNA 2421	ncRNA
C16_Up_LUT_Up-328	chr6	128431155	128432069	+	0	NA	intron (NM_001291981, intron 1 of 32).2	intron (NM_001291981, intron 1 of 32).2	88987	NM_001291982	5796		NM_002844	ENSG00000152894	PTPRK	R-PTP-kappa	protein tyrosine phosphatase receptor type K	protein-coding
C16_NA_LUT_Up-1427	chr7	80821861	80822203	+	0	NA	intron (NM_001350120, intron 4 of 17)	intron (NM_001350120, intron 4 of 17)	97019	NM_006379	10512		NM_006379	ENSG00000075223	SEMA3C	SEMAE|SemE	semaphorin 3C	protein-coding
C16_NA_LUT_Up-297	chr13	106243213	106243612	+	0	NA	Intergenic	L1MA5A|LINE|L1	-133152	NR_034119	728192		NR_034119	ENSG00000233532	LINC00460	-	long intergenic non-protein coding RNA 460	ncRNA
C16_NA_LUT_Down-21	chr18	79751871	79753219	+	0	NA	intron (NM_004715, intron 12 of 12)	intron (NM_004715, intron 12 of 12)	71115	NM_001202504	9150		NM_004715	ENSG00000060069	CTDP1	CCFDN|FCP1	CTD phosphatase subunit 1	protein-coding
C16_Up_LUT_NA-671	chr8	127269655	127270036	+	0	NA	intron (NR_117099, intron 1 of 3)	intron (NR_117099, intron 1 of 3)	25208	NR_117099	103021164		NR_117099		CASC21	CARLO2|CARLo-2|LINC01244	cancer susceptibility 21	ncRNA
C16_Up_LUT_NA-775	chrX	18758221	18758936	+	0	NA	intron (NM_006240, intron 8 of 18)	intron (NM_006240, intron 8 of 18)	50933	NM_001377995	5475		NM_006240	ENSG00000086717	PPEF1	PP7|PPEF|PPP7C|PPP7CA	protein phosphatase with EF-hand domain 1	protein-coding
C16_NA_LUT_Up-895	chr4	106386274	106387371	+	0	NA	Intergenic	Intergenic	-18044	NM_001195138	100507096		NM_001195138	ENSG00000250298	GIMD1	-	GIMAP family P-loop NTPase domain containing 1	protein-coding
C16_NA_LUT_Up-1189	chr5	77824740	77825687	+	0	NA	Intergenic	MamSINE1|SINE|tRNA-RTE	-48852	NM_001297740	6902		NM_004607	ENSG00000171530	TBCA	-	tubulin folding cofactor A	protein-coding
C16_NA_LUT_Up-234	chr12	22991403	22991739	+	0	NA	Intergenic	Intergenic	-184065	NR_120471	107984516		NR_120471	ENSG00000256995	LINC02955	-	long intergenic non-protein coding RNA 2955	ncRNA
C16_NA_LUT_Up-1008	chr4	55226838	55227649	+	0	NA	Intergenic	L1MA7|LINE|L1	-101648	NM_002253	3791		NM_002253	ENSG00000128052	KDR	CD309|FLK1|VEGFR|VEGFR2	kinase insert domain receptor	protein-coding
C16_NA_LUT_Up-999	chr4	38413670	38414134	+	0	NA	Intergenic	Intergenic	46988	NR_149123	105374410		NR_149123	ENSG00000248227	LINC02513	-	long intergenic non-protein coding RNA 2513	ncRNA
C16_Up_LUT_NA-464	chr4	168634351	168634628	+	0	NA	intron (NM_001166109, intron 1 of 18)	intron (NM_001166109, intron 1 of 18)	2911	NM_001166109	23022		NM_016081	ENSG00000129116	PALLD	CGI-151|CGI151|MYN|PNCA1|SIH002	palladin, cytoskeletal associated protein	protein-coding
C16_NA_LUT_Up-631	chr2	207921708	207922026	+	0	NA	intron (NM_001080475, intron 5 of 7)	L1MA5|LINE|L1	103660	NM_001080475	389072		NM_001080475	ENSG00000178385	PLEKHM3	DAPR|PLEKHM1L	pleckstrin homology domain containing M3	protein-coding
C16_NA_LUT_Up-735	chr22	12374058	12374470	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	476858	NR_110761	102723769		NR_110761		LOC102723769	-	uncharacterized LOC102723769	ncRNA
C16_NA_LUT_Up-296	chr13	106221940	106222126	+	0	NA	Intergenic	Intergenic	-154531	NR_034119	728192		NR_034119	ENSG00000233532	LINC00460	-	long intergenic non-protein coding RNA 460	ncRNA
C16_Up_LUT_NA-274	chr2	104897629	104898169	+	0	NA	Intergenic	Intergenic	-25304	NR_110373	102682016		NR_110373	ENSG00000229743	LINC01159	linc-Brn1b	long intergenic non-protein coding RNA 1159	ncRNA
C16_NA_LUT_Up-1028	chr4	79048780	79049220	+	0	NA	intron (NR_038342, intron 2 of 5)	intron (NR_038342, intron 2 of 5)	77252	NR_038342	100505875		NR_038342	ENSG00000249307	LINC01088	-	long intergenic non-protein coding RNA 1088	ncRNA
C16_NA_LUT_Up-957	chr4	151430193	151431261	+	0	NA	intron (NM_001348694, intron 1 of 12)	intron (NM_001348694, intron 1 of 12)	21551	NM_001109977	729830		NM_001109977	ENSG00000164142	FHIP1A	FAM160A1|FHIP-L	FHF complex subunit HOOK interacting protein 1A	protein-coding
C16_Up_LUT_NA-72	chr10	6624145	6625022	+	0	NA	intron (NR_120634, intron 3 of 5)	LTR35B|LTR|ERV1	5867	NR_120634	101928150		NR_120634		LINC02648	-	long intergenic non-protein coding RNA 2648	ncRNA
C16_Up_LUT_Up-266	chr4	61374035	61375061	+	0	NA	intron (NM_001371342, intron 1 of 20)	intron (NM_001371342, intron 1 of 20)	172376	NM_001371342	23284		NM_015236	ENSG00000150471	ADGRL3	CIRL3|CL3|LEC3|LPHN3	adhesion G protein-coupled receptor L3	protein-coding
C16_NA_LUT_Up-926	chr4	125441828	125442188	+	0	NA	intron (NM_024582, intron 8 of 17)	MER58A|DNA|hAT-Charlie	-65251	NR_031746	100302267		NR_031746	ENSG00000283550	MIR2054	hsa-mir-2054	microRNA 2054	ncRNA
C16_NA_LUT_Up-270	chr12	80847036	80847407	+	0	NA	intron (NM_001324423, intron 2 of 4)	intron (NM_001324423, intron 2 of 4)	-14592	NR_030348	693202		NR_030348	ENSG00000207763	MIR617	MIRN617|hsa-mir-617	microRNA 617	ncRNA
C16_Up_LUT_Up-221	chr3	67296125	67296358	+	0	NA	Intergenic	Intergenic	70777	NR_036234	100422941		NR_036234	ENSG00000283298	MIR4272	-	microRNA 4272	ncRNA
C16_NA_LUT_Up-961	chr4	155960286	155960910	+	0	NA	Intergenic	Intergenic	-6732	NM_001334	1519		NM_001334	ENSG00000256043	CTSO	CTSO1	cathepsin O	protein-coding
C16_NA_LUT_Up-229	chr12	20587734	20588666	+	0	NA	intron (NM_001378409, intron 1 of 14)	intron (NM_001378409, intron 1 of 14)	16121	NM_001244683	5139		NM_000921	ENSG00000172572	PDE3A	CGI-PDE|CGI-PDE A|CGI-PDE-A|HTNB	phosphodiesterase 3A	protein-coding
C16_NA_LUT_Up-460	chr16	20363683	20364552	+	0	NA	intron (NM_174924, intron 9 of 11)	intron (NM_174924, intron 9 of 11)	-11402	NM_001008389	7369		NM_003361	ENSG00000169344	UMOD	ADMCKD2|ADTKD1|FJHN|HNFJ|HNFJ1|MCKD2|THGP|THP	uromodulin	protein-coding
C16_NA_LUT_Up-1310	chr6	54624453	54625186	+	0	NA	Intergenic	Intergenic	-221952	NM_001010872	222584		NM_001010872	ENSG00000168143	FAM83B	C6orf143	family with sequence similarity 83 member B	protein-coding
C16_Up_LUT_Up-358	chr7	19421722	19422479	+	0	NA	Intergenic	Intergenic	-276679	NM_152898	222894		NM_152898	ENSG00000146618	FERD3L	N-TWIST|NATO3|NTWIST|PTFB|bHLHa31	Fer3 like bHLH transcription factor	protein-coding
C16_NA_LUT_Up-272	chr12	81209626	81210366	+	0	NA	intron (NM_001330243, intron 10 of 16)	MER41B|LTR|ERV1	51608	NR_039848	100616133		NR_039848	ENSG00000265227	MIR4699	-	microRNA 4699	ncRNA
