PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_Up_LUT_NA)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SEMA6D	chr15	47367878	47368269	+	0	NA	intron (NM_001198999, intron 1 of 19)	intron (NM_001198999, intron 1 of 19)	183984	NM_001198999	80031		NM_020858	ENSG00000137872	SEMA6D	-	semaphorin 6D	protein-coding
LSAMP-AS1	chr3	116155920	116156192	+	0	NA	intron (NM_001318915, intron 1 of 8)	intron (NM_001318915, intron 1 of 8)	-203968	NR_109998	101926903		NR_109998	ENSG00000240922	LSAMP-AS1	-	LSAMP antisense RNA 1	ncRNA
SOCS2	chr12	93526725	93527463	+	0	NA	Intergenic	Intergenic	-42875	NM_003877	8835		NM_003877	ENSG00000120833	SOCS2	CIS2|Cish2|SOCS-2|SSI-2|SSI2|STATI2	suppressor of cytokine signaling 2	protein-coding
CTNNA3	chr10	67629378	67630253	+	0	NA	intron (NM_001291133, intron 3 of 8)	intron (NM_001291133, intron 3 of 8)	35845	NM_001291133	29119		NM_013266	ENSG00000183230	CTNNA3	ARVD13|VR22	catenin alpha 3	protein-coding
LINC00971	chr3	83877757	83878249	+	0	NA	Intergenic	Intergenic	991572	NR_033860	440970		NR_033860	ENSG00000242641	LINC00971	-	long intergenic non-protein coding RNA 971	ncRNA
B3GNT5	chr3	183291107	183292032	+	0	NA	intron (NM_015078, intron 13 of 29)	intron (NM_015078, intron 13 of 29)	38316	NM_032047	84002		NM_032047	ENSG00000176597	B3GNT5	B3GN-T5|beta3Gn-T5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	protein-coding
BMPR1B	chr4	95059403	95060199	+	0	NA	intron (NM_001256793, intron 1 of 10)	intron (NM_001256793, intron 1 of 10)	8124	NM_001256793	658		NM_001203	ENSG00000138696	BMPR1B	ALK-6|ALK6|AMD3|AMDD|BDA1D|BDA2|CDw293	bone morphogenetic protein receptor type 1B	protein-coding
S100A10	chr1	151980224	151981418	+	0	NA	Intergenic	Intergenic	13038	NM_002966	6281		NM_002966	ENSG00000197747	S100A10	42C|ANX2L|ANX2LG|CAL1L|CLP11|Ca[1]|GP11|P11|p10	S100 calcium binding protein A10	protein-coding
SMLR1	chr6	130795949	130796790	+	0	NA	Intergenic	Intergenic	-31037	NM_001195597	100507203		NM_001195597	ENSG00000256162	SMLR1	-	small leucine rich protein 1	protein-coding
CD180	chr5	67278570	67278821	+	0	NA	Intergenic	Intergenic	-81896	NM_005582	4064		NM_005582	ENSG00000134061	CD180	LY64|Ly78|RP105	CD180 molecule	protein-coding
SYT4-2	chr18	43627702	43628579	+	0	NA	Intergenic	Intergenic	-350650	NM_020783	6860		NM_020783	ENSG00000132872	SYT4	HsT1192	synaptotagmin 4	protein-coding
LINC02720	chr11	80103351	80103709	+	0	NA	Intergenic	Intergenic	659273	NR_120570	101928944		NR_120570	ENSG00000255178	LINC02720	-	long intergenic non-protein coding RNA 2720	ncRNA
LZTS1-2	chr8	20412048	20412910	+	0	NA	Intergenic	MLT1H1|LTR|ERVL-MaLR	-108516	NM_021020	11178		NM_021020	ENSG00000061337	LZTS1	F37|FEZ1	leucine zipper tumor suppressor 1	protein-coding
PDE3A	chr12	20454865	20455352	+	0	NA	intron (NM_000921, intron 1 of 15)	L1PA13|LINE|L1	86571	NM_001378408	5139		NM_000921	ENSG00000172572	PDE3A	CGI-PDE|CGI-PDE A|CGI-PDE-A|HTNB	phosphodiesterase 3A	protein-coding
LOC105369212	chr15	95799662	95800362	+	0	NA	Intergenic	Intergenic	327829	NR_158193	105369212		NR_158193		LOC105369212	-	uncharacterized LOC105369212	ncRNA
GASK1B-AS1	chr4	158161512	158162040	+	0	NA	intron (NM_016613, intron 2 of 4)	intron (NM_016613, intron 2 of 4)	-8976	NR_147408	285505		NR_147407	ENSG00000248429	GASK1B-AS1	FAM198B-AS1	GASK1B antisense RNA 1	ncRNA
ALDH1A1	chr9	72980452	72981036	+	0	NA	Intergenic	Intergenic	-27691	NM_000689	216		NM_000689	ENSG00000165092	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	aldehyde dehydrogenase 1 family member A1	protein-coding
GRXCR1	chr4	42915291	42915993	+	0	NA	intron (NM_001080476, intron 1 of 3)	L1MEi|LINE|L1	22929	NM_001080476	389207		NM_001080476	ENSG00000215203	GRXCR1	DFNB25|PPP1R88	glutaredoxin and cysteine rich domain containing 1	protein-coding
MIR3681HG	chr2	11967996	11968673	+	0	NA	Intergenic	Intergenic	-38782	NR_110196	100506457		NR_110196	ENSG00000224184	MIR3681HG	-	MIR3681 host gene	ncRNA
MUSK	chr9	110744664	110745899	+	0	NA	intron (NM_001369398, intron 2 of 8)	intron (NM_001369398, intron 2 of 8)	17019	NM_001369398	4593		NM_005592	ENSG00000030304	MUSK	CMS9|FADS|FADS1	muscle associated receptor tyrosine kinase	protein-coding
GZMA	chr5	55103989	55104682	+	0	NA	intron (NM_006144, intron 1 of 4)	intron (NM_006144, intron 1 of 4)	1689	NM_006144	3001		NM_006144	ENSG00000145649	GZMA	CTLA3|HFSP	granzyme A	protein-coding
LINC01362	chr1	82449544	82449900	+	0	NA	Intergenic	MLT2B4|LTR|ERVL	-453461	NR_147074	103283057		NR_147074	ENSG00000230817	LINC01362	-	long intergenic non-protein coding RNA 1362	ncRNA
DACT1	chr14	58731169	58732082	+	0	NA	Intergenic	Intergenic	92788	NR_046095	51339		NM_016651	ENSG00000165617	DACT1	DAPPER|DAPPER1|DPR1|FRODO|HDPR1|TBS2|THYEX3	dishevelled binding antagonist of beta catenin 1	protein-coding
VGLL3	chr3	86793772	86794103	+	0	NA	Intergenic	Intergenic	197212	NM_001320494	389136		NM_016206	ENSG00000206538	VGLL3	VGL-3|VGL3	vestigial like family member 3	protein-coding
TPRG1-AS2	chr3	189393662	189393911	+	0	NA	Intergenic	Intergenic	-153192	NR_046722	100874027		NR_046722	ENSG00000230115	TPRG1-AS2	-	TPRG1 antisense RNA 2	ncRNA
PKNOX2	chr11	125275807	125276795	+	0	NA	intron (NM_001382331, intron 3 of 12)	L2-3_Crp|LINE|L2	111550	NM_001382334	63876		NM_022062	ENSG00000165495	PKNOX2	PREP2	PBX/knotted 1 homeobox 2	protein-coding
LOC105374704	chr5	29780253	29780752	+	0	NA	Intergenic	Intergenic	-100058	NR_134264	105374704		NR_134264		LOC105374704	-	uncharacterized LOC105374704	ncRNA
POU1F1	chr3	87333026	87333867	+	0	NA	Intergenic	MER57F|LTR|ERV1	-56862	NM_000306	5449		NM_000306	ENSG00000064835	POU1F1	CPHD1|GHF-1|PIT1|POU1F1a|Pit-1	POU class 1 homeobox 1	protein-coding
LINC02648-2	chr10	6624146	6625022	+	0	NA	intron (NR_120634, intron 3 of 5)	LTR35B|LTR|ERV1	5868	NR_120634	101928150		NR_120634		LINC02648	-	long intergenic non-protein coding RNA 2648	ncRNA
EPHA4-2	chr2	220846587	220848102	+	0	NA	Intergenic	Intergenic	724960	NM_004438	2043		NM_004438	ENSG00000116106	EPHA4	EK8|HEK8|SEK|TYRO1	EPH receptor A4	protein-coding
RDUR	chr3	101950524	101951703	+	0	NA	intron (NR_026934, intron 1 of 3)	intron (NR_026934, intron 1 of 3)	10254	NR_026934	152225		NR_026934	ENSG00000214407	RDUR	LINC02085	RIG-I dependent antiviral response regulator RNA	ncRNA
LDLRAD4	chr18	13366021	13366722	+	0	NA	intron (NM_001378098, intron 1 of 5)	intron (NM_001378098, intron 1 of 5)	27768	NM_001378098	753		NM_004338	ENSG00000168675	LDLRAD4	C18orf1	low density lipoprotein receptor class A domain containing 4	protein-coding
CPED1	chr7	121073416	121074443	+	0	NA	intron (NM_001105533, intron 4 of 17)	Tigger2|DNA|TcMar-Tigger	84538	NM_001105533	79974		NM_024913	ENSG00000106034	CPED1	C7orf58	cadherin like and PC-esterase domain containing 1	protein-coding
DISC1-IT1	chr1	232049264	232049767	+	0	NA	Intergenic	Intergenic	123681	NR_126441	104472714		NR_126441	ENSG00000226758	DISC1-IT1	-	DISC1 intronic transcript 1	ncRNA
NRP1	chr10	33229772	33230267	+	0	NA	intron (NM_001244973, intron 6 of 16)	intron (NM_001244973, intron 6 of 16)	104648	NM_003873	8829		NM_003873	ENSG00000099250	NRP1	BDCA4|CD304|NP1|NRP|VEGF165R	neuropilin 1	protein-coding
LOC100506403	chr21	35637235	35638017	+	0	NA	Intergenic	Intergenic	-56862	NR_073512	100506403		NR_073512	ENSG00000159216	LOC100506403	-	uncharacterized LOC100506403	ncRNA
SGPP2	chr2	222398497	222398828	+	0	NA	Intergenic	Intergenic	-25326	NM_001320834	130367		NM_152386	ENSG00000163082	SGPP2	SPP2|SPPase2	sphingosine-1-phosphate phosphatase 2	protein-coding
ACSS3	chr12	81095250	81096083	+	0	NA	intron (NM_001330243, intron 1 of 16)	intron (NM_001330243, intron 1 of 16)	17587	NM_024560	79611		NM_024560	ENSG00000111058	ACSS3	-	acyl-CoA synthetase short chain family member 3	protein-coding
COL25A1	chr4	109206803	109207468	+	0	NA	intron (NM_198721, intron 3 of 36)	intron (NM_198721, intron 3 of 36)	95523	NM_001256074	84570		NM_032518	ENSG00000188517	COL25A1	AMY|CFEOM5|CLAC|CLAC-P|CLACP	collagen type XXV alpha 1 chain	protein-coding
MIR4320	chr18	50091726	50092720	+	0	NA	intron (NM_001080467, intron 1 of 39)	intron (NM_001080467, intron 1 of 39)	34340	NR_036204	100422865		NR_036204	ENSG00000283343	MIR4320	-	microRNA 4320	ncRNA
LINC00499	chr4	138658697	138660285	+	0	NA	Intergenic	Intergenic	349780	NR_051987	100874047		NR_051987	ENSG00000251372	LINC00499	LINC00500	long intergenic non-protein coding RNA 499	ncRNA
IFIT2	chr10	89277971	89279864	+	0	NA	Intergenic	Intergenic	-23129	NM_001547	3433		NM_001547	ENSG00000119922	IFIT2	G10P2|GARG-39|IFI-54|IFI-54K|IFI54|IFIT-2|ISG-54|ISG-54 K|ISG-54K|ISG54|P54|cig42	interferon induced protein with tetratricopeptide repeats 2	protein-coding
MRGPRX2	chr11	19028068	19028462	+	0	NA	Intergenic	Intergenic	31752	NM_001303615	117194		NM_054030	ENSG00000183695	MRGPRX2	MGRG3|MRGX2	MAS related GPR family member X2	protein-coding
ZFHX3	chr16	73126000	73126819	+	0	NA	TTS (NR_163978)	TTS (NR_163978)	18038	NR_163978	463		NM_006885	ENSG00000140836	ZFHX3	ATBF1|ATBT|ATFB8|C16orf47|SCA4|ZFH-3|ZNF927	zinc finger homeobox 3	protein-coding
LOC101927020	chr6	49806236	49806634	+	0	NA	Intergenic	L1PA11|LINE|L1	-5105	NR_125839	101927020		NR_125839	ENSG00000235122	LOC101927020	-	uncharacterized LOC101927020	ncRNA
MEAT6	chr6	164322431	164322991	+	0	NA	Intergenic	Intergenic	499352	NR_131926	105378111		NR_131926		MEAT6	-	melanoma-associated transcript 6	ncRNA
LINC02488	chr5	87722384	87722682	+	0	NA	Intergenic	Intergenic	60491	NR_149089	111082994		NR_149089	ENSG00000249362	LINC02488	CTD-2316B1	long intergenic non-protein coding RNA 2488	ncRNA
PID1	chr2	228938888	228939248	+	0	NA	Intergenic	MIRb|SINE|MIR	293024	NM_001330156	55022		NM_017933	ENSG00000153823	PID1	HMFN2073|NYGGF4|P-CLI1|PCLI1	phosphotyrosine interaction domain containing 1	protein-coding
MIR4668	chr9	112041775	112042190	+	0	NA	intron (NM_001282643, intron 14 of 15)	intron (NM_001282643, intron 14 of 15)	109882	NR_039814	100616114		NR_039814	ENSG00000266315	MIR4668	mir-4668	microRNA 4668	ncRNA
LINC00251	chr8	65151948	65153246	+	0	NA	Intergenic	Intergenic	27743	NR_038901	552859		NR_038901	ENSG00000280725	LINC00251	C8orf25|NCRNA00251	long intergenic non-protein coding RNA 251	ncRNA
ARHGAP28-AS1	chr18	6737931	6738138	+	0	NA	intron (NM_001366230, intron 1 of 17)	intron (NM_001366230, intron 1 of 17)	-8172	NR_134645	101927168		NR_134645		ARHGAP28-AS1	-	ARHGAP28 antisense RNA 1	ncRNA
RALBP1	chr18	9427344	9427835	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	-47924	NM_006788	10928		NM_006788	ENSG00000017797	RALBP1	RIP1|RLIP1|RLIP76	ralA binding protein 1	protein-coding
LOC101928525	chr9	135511608	135511872	+	0	NA	Intergenic	L1MB7|LINE|L1	-5293	NR_121579	101928525		NR_121579	ENSG00000226706	LOC101928525	-	uncharacterized LOC101928525	ncRNA
OXR1	chr8	106549723	106550606	+	0	NA	intron (NM_001198532, intron 2 of 15)	intron (NM_001198532, intron 2 of 15)	102240	NM_001198532	55074		NM_018002	ENSG00000164830	OXR1	CHEGDD|Nbla00307|TLDC3	oxidation resistance 1	protein-coding
FAM27C	chr9	61573711	61574032	+	0	NA	Intergenic	LTR25|LTR|ERV1	-280213	NR_027421	100132948		NM_001024942	ENSG00000231527	FAM27C	FAM27A|FAM27A1|FAM27A3|bA7G23.5	family with sequence similarity 27 member C	ncRNA
TRIO	chr5	14105847	14106274	+	0	NA	Intergenic	Intergenic	-37282	NM_007118	7204		NM_007118	ENSG00000038382	TRIO	ARHGEF23|MEBAS|MRD44|MRD63|tgat	trio Rho guanine nucleotide exchange factor	protein-coding
ZC3H11C	chr6	65116339	65116581	+	0	NA	intron (NM_001292009, intron 12 of 43)	intron (NM_001292009, intron 12 of 43)	-184958	NM_001271675	441155		NM_001271675	ENSG00000214558	ZC3H11C	-	zinc finger CCCH-type containing 11C	protein-coding
ZNF792	chr19	34950116	34950311	+	0	NA	Intergenic	L1MB3|LINE|L1	14016	NM_175872	126375		NM_175872	ENSG00000180884	ZNF792	-	zinc finger protein 792	protein-coding
ANXA1-2	chr9	73151717	73152906	+	0	NA	intron (NM_000700, intron 1 of 12)	intron (NM_000700, intron 1 of 12)	446	NM_000700	301		NM_000700	ENSG00000135046	ANXA1	ANX1|LPC1	annexin A1	protein-coding
RASGEF1B	chr4	81807805	81808489	+	0	NA	Intergenic	Intergenic	-336240	NM_001300735	153020		NM_152545	ENSG00000138670	RASGEF1B	GPIG4	RasGEF domain family member 1B	protein-coding
ENTREP1	chr9	69452132	69452611	+	0	NA	intron (NM_001163, intron 8 of 12)	intron (NM_001163, intron 8 of 12)	123046	NM_004816	9413		NM_004816	ENSG00000135063	ENTREP1	C9orf61|ENTREP|FAM189A2|X123	endosomal transmembrane epsin interactor 1	protein-coding
ATP6V1G3	chr1	198530891	198531381	+	0	NA	intron (NM_133262, intron 2 of 3)	intron (NM_133262, intron 2 of 3)	9544	NM_001376862	127124		NM_133262	ENSG00000151418	ATP6V1G3	ATP6G3|Vma10	ATPase H+ transporting V1 subunit G3	protein-coding
LINC02446	chr12	10573029	10573396	+	0	NA	intron (NR_146456, intron 2 of 2)	L2c|LINE|L2	19833	NR_146456	101060038		NR_146455	ENSG00000256039	LINC02446	-	long intergenic non-protein coding RNA 2446	ncRNA
LINC01608	chr8	111086683	111088072	+	0	NA	Intergenic	Intergenic	-59944	NR_125416	101927459		NR_125416	ENSG00000253877	LINC01608	-	long intergenic non-protein coding RNA 1608	ncRNA
DDX60L	chr4	168450142	168450330	+	0	NA	intron (NM_001291510, intron 8 of 29)	LTR8|LTR|ERV1	30256	NM_001378069	91351		NM_001012967	ENSG00000181381	DDX60L	-	DExD/H-box 60 like	protein-coding
LINC02240	chr5	125326093	125326344	+	0	NA	intron (NR_109882, intron 5 of 5)	intron (NR_109882, intron 5 of 5)	-167043	NR_109887	101927460		NR_109887	ENSG00000260192	LINC02240	-	long intergenic non-protein coding RNA 2240	ncRNA
SLC25A13	chr7	96314505	96315438	+	0	NA	intron (NM_001160210, intron 1 of 17)	intron (NM_001160210, intron 1 of 17)	7127	NR_027662	10165		NM_014251	ENSG00000004864	SLC25A13	ARALAR2|CITRIN|CTLN2|NICCD	solute carrier family 25 member 13	protein-coding
LINC01339	chr5	90290810	90291167	+	0	NA	promoter-TSS (NR_120601)	promoter-TSS (NR_120601)	-917	NR_120601	101929495		NR_120601	ENSG00000248555	LINC01339	-	long intergenic non-protein coding RNA 1339	ncRNA
EPHA5	chr4	65789503	65790330	+	0	NA	Intergenic	MLT1E1A|LTR|ERVL-MaLR	-119421	NM_001281766	2044		NM_004439	ENSG00000145242	EPHA5	CEK7|EHK-1|EHK1|EK7|HEK7|TYRO4	EPH receptor A5	protein-coding
MIR6130	chr21	23223993	23224369	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	144897	NR_106746	102466967		NR_106746	ENSG00000275469	MIR6130	hsa-mir-6130	microRNA 6130	ncRNA
VGLL2	chr6	117156623	117157053	+	0	NA	Intergenic	Intergenic	-108720	NM_182645	245806		NM_153453	ENSG00000170162	VGLL2	VGL2|VITO1	vestigial like family member 2	protein-coding
UBE2E2-DT	chr3	22952021	22952340	+	0	NA	Intergenic	Intergenic	250398	NR_136177	100505877		NR_136176	ENSG00000233153	UBE2E2-DT	UBE2E2-AS1	UBE2E2 divergent transcript	ncRNA
CLDN24	chr4	183333935	183334193	+	0	NA	Intergenic	Intergenic	-11638	NM_001185149	100132463		NM_001185149	ENSG00000185758	CLDN24	CLDN21	claudin 24	protein-coding
LOC102724467	chr16	87790061	87790426	+	0	NA	Intergenic	Intergenic	-11095	NR_120309	102724467		NR_120309		LOC102724467	-	uncharacterized LOC102724467	ncRNA
FEM1C	chr5	115461639	115462461	+	0	NA	Intergenic	MIRc|SINE|MIR	82725	NM_020177	56929		NM_020177	ENSG00000145780	FEM1C	EUROIMAGE686608|EUROIMAGE783647|FEM1A	fem-1 homolog C	protein-coding
TSN	chr2	121860255	121860984	+	0	NA	Intergenic	Intergenic	104968	NM_004622	7247		NM_004622	ENSG00000211460	TSN	BCLF-1|C3PO|RCHF1|REHF-1|TBRBP|TRSLN	translin	protein-coding
LINC00977	chr8	129267418	129267929	+	0	NA	Intergenic	Intergenic	-26433	NR_033916	728724		NR_033916	ENSG00000229140	LINC00977	-	long intergenic non-protein coding RNA 977	ncRNA
SLC7A14-AS1	chr3	170520925	170521314	+	0	NA	intron (NM_020949, intron 2 of 7)	intron (NM_020949, intron 2 of 7)	53834	NR_135557	101928583		NR_135555	ENSG00000285051	SLC7A14-AS1	-	SLC7A14 antisense RNA 1	ncRNA
PRKCH	chr14	61418185	61419061	+	0	NA	intron (NM_006255, intron 2 of 13)	intron (NM_006255, intron 2 of 13)	97180	NM_006255	5583		NM_006255	ENSG00000027075	PRKCH	PKC-L|PKCL|PRKCL|nPKC-eta|uORF2	protein kinase C eta	protein-coding
LMNTD1-2	chr12	25675718	25676056	+	0	NA	Intergenic	L2|LINE|L2	-27309	NM_001352232	160492		NM_152590	ENSG00000152936	LMNTD1	IFLTD1|LMNARS1|PAS1C1	lamin tail domain containing 1	protein-coding
CTNNA2	chr2	80621848	80622218	+	0	NA	intron (NM_001282597, intron 18 of 18)	intron (NM_001282597, intron 18 of 18)	308654	NM_001282599	1496		NM_004389	ENSG00000066032	CTNNA2	CAP-R|CAPR|CDCBM9|CT114|CTNR	catenin alpha 2	protein-coding
RHOH	chr4	40251408	40251620	+	0	NA	Intergenic	LTR33A|LTR|ERVL	54483	NM_004310	399		NM_004310	ENSG00000168421	RHOH	ARHH|TTF	ras homolog family member H	protein-coding
PDSS2	chr6	107448776	107449123	+	0	NA	intron (NM_020381, intron 1 of 7)	THE1D|LTR|ERVL-MaLR	10615	NM_020381	57107		NM_020381	ENSG00000164494	PDSS2	C6orf210|COQ10D3|COQ1B|DLP1|bA59I9.3|hDLP1	decaprenyl diphosphate synthase subunit 2	protein-coding
FOXG1-AS1	chr14	28570312	28570532	+	0	NA	Intergenic	Intergenic	194897	NR_125758	103695363		NR_125758		FOXG1-AS1	FOXG1-AS	FOXG1 antisense RNA 1	ncRNA
NRG3-AS1	chr10	82813864	82814795	+	0	NA	intron (NM_001370081, intron 3 of 8)	intron (NM_001370081, intron 3 of 8)	-581409	NR_120666	101929590		NR_120666	ENSG00000225738	NRG3-AS1	C10orf100|Em:AC010157.1	NRG3 antisense RNA 1	ncRNA
SEMA3C	chr7	81175272	81175760	+	0	NA	Intergenic	Intergenic	-253127	NM_001350120	10512		NM_006379	ENSG00000075223	SEMA3C	SEMAE|SemE	semaphorin 3C	protein-coding
LINC00838	chr10	33824564	33824976	+	0	NA	Intergenic	Intergenic	-52090	NR_038932	100505583		NR_038932	ENSG00000261683	LINC00838	-	long intergenic non-protein coding RNA 838	ncRNA
PADI2	chr1	17128400	17128792	+	0	NA	Intergenic	LTR24B|LTR|ERV1	-9145	NM_007365	11240		NM_007365	ENSG00000117115	PADI2	PAD-H19|PAD2|PDI2	peptidyl arginine deiminase 2	protein-coding
LINC00976	chr8	128854366	128855292	+	0	NA	Intergenic	MIR|SINE|MIR	111172	NR_145483	106144608		NR_145483	ENSG00000229140	LINC00976	-	long intergenic non-protein coding RNA 976	ncRNA
ARRDC3	chr5	92371742	92372143	+	0	NA	Intergenic	Intergenic	-988625	NM_001329672	57561		NM_020801	ENSG00000113369	ARRDC3	TLIMP	arrestin domain containing 3	protein-coding
TBC1D30	chr12	64806611	64807383	+	0	NA	intron (NM_001330187, intron 3 of 13)	L1MB3|LINE|L1	-17650	NM_015279	23329		NM_015279	ENSG00000111490	TBC1D30	-	TBC1 domain family member 30	protein-coding
NCKAP5	chr2	133774238	133775125	+	0	NA	Intergenic	Intergenic	-206218	NM_207363	344148		NM_207363	ENSG00000176771	NCKAP5	ERIH1|ERIH2|NAP5	NCK associated protein 5	protein-coding
ARX	chrX	25156086	25157031	+	0	NA	Intergenic	L1MB8|LINE|L1	-140593	NM_139058	170302		NM_139058	ENSG00000004848	ARX	CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS	aristaless related homeobox	protein-coding
TAB2-2	chr6	149200645	149201678	+	0	NA	Intergenic	Intergenic	-16763	NR_125861	23118		NM_015093	ENSG00000055208	TAB2	CHTD2|MAP3K7IP2|TAB-2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2	protein-coding
LINC01680	chr1	191051339	191052166	+	0	NA	Intergenic	MER74C|LTR|ERVL	176746	NR_146892	105371660		NR_146892	ENSG00000233882	LINC01680	-	long intergenic non-protein coding RNA 1680	ncRNA
GNA14-AS1	chr9	77429697	77430483	+	0	NA	intron (NM_004297, intron 4 of 6)	intron (NM_004297, intron 4 of 6)	-17559	NR_121184	101927422		NR_121184	ENSG00000231373	GNA14-AS1	-	GNA14 antisense RNA 1	ncRNA
THSD7B	chr2	137178893	137179383	+	0	NA	intron (NM_001316349, intron 7 of 27)	intron (NM_001316349, intron 7 of 27)	413593	NM_001316349	80731		NM_001080427	ENSG00000144229	THSD7B	-	thrombospondin type 1 domain containing 7B	protein-coding
ASXL2	chr2	25741201	25741558	+	0	NA	3' UTR (NM_001369346, exon 11 of 11)	3' UTR (NM_001369346, exon 11 of 11)	53312	NM_001369347	55252		NM_018263	ENSG00000143970	ASXL2	ASXH2|SHAPNS	ASXL transcriptional regulator 2	protein-coding
LINC00824	chr8	128361871	128362601	+	0	NA	Intergenic	Intergenic	202443	NR_121673	101927774		NR_121672		LINC00824	LINC01263	long intergenic non-protein coding RNA 824	ncRNA
LINC03024	chr8	133674048	133675247	+	0	NA	intron (NR_134462, intron 1 of 2)	intron (NR_134462, intron 1 of 2)	9419	NR_134463	105375773		NR_134462	ENSG00000289906	LINC03024	-	long intergenic non-protein coding RNA 3024	ncRNA
GRM3	chr7	86744809	86745620	+	0	NA	intron (NM_000840, intron 1 of 5)	intron (NM_000840, intron 1 of 5)	101300	NM_000840	2913		NM_000840	ENSG00000198822	GRM3	GLUR3|GPRC1C|MGLUR3|mGlu3	glutamate metabotropic receptor 3	protein-coding
H3Y1	chr5	17679380	17680315	+	0	NA	Intergenic	Charlie3|DNA|hAT-Charlie	-23998	NM_001355258	391769		NM_001355258	ENSG00000269466	H3Y1	H3.Y|H3.Y.1	H3.Y histone 1	protein-coding
RNF152-2	chr18	61948275	61949326	+	0	NA	Intergenic	Intergenic	-55793	NM_173557	220441		NM_173557	ENSG00000176641	RNF152	-	ring finger protein 152	protein-coding
MIR2054	chr4	125922769	125923505	+	0	NA	Intergenic	L1PA14|LINE|L1	415878	NR_031746	100302267		NR_031746	ENSG00000283550	MIR2054	hsa-mir-2054	microRNA 2054	ncRNA
LOC105369146-2	chr7	81534989	81536147	+	0	NA	intron (NR_136264, intron 3 of 4)	LTR1F2|LTR|ERV1	26251	NR_136264	105369146		NR_136264		LOC105369146	-	uncharacterized LOC105369146	ncRNA
ZCCHC2	chr18	62445634	62445941	+	0	NA	Intergenic	Intergenic	-77238	NR_126534	54877		NM_017742	ENSG00000141664	ZCCHC2	C18orf49	zinc finger CCHC-type containing 2	protein-coding
BALR6	chr3	18079658	18080597	+	0	NA	intron (NR_161333, intron 4 of 4)	intron (NR_161333, intron 4 of 4)	117575	NR_161333	339862		NR_046199		BALR6	BALR-6	B-cell acute lymphoblastic leukemia associated long RNA 6	ncRNA
LINC02010-2	chr3	146968002	146968776	+	0	NA	Intergenic	MLT1D-int|LTR|ERVL-MaLR	46466	NR_135560	101927866		NR_135560	ENSG00000242671	LINC02010	-	long intergenic non-protein coding RNA 2010	ncRNA
ANXA1	chr9	73113865	73114277	+	0	NA	Intergenic	Intergenic	-37794	NM_000700	301		NM_000700	ENSG00000135046	ANXA1	ANX1|LPC1	annexin A1	protein-coding
SLC9A9-AS1	chr3	143380572	143380848	+	0	NA	intron (NM_173653, intron 13 of 15)	intron (NM_173653, intron 13 of 15)	38464	NR_048544	100885796		NR_048544	ENSG00000240012	SLC9A9-AS1	-	SLC9A9 antisense RNA 1	ncRNA
TGFA-IT1	chr2	70457040	70457864	+	0	NA	intron (NM_001308158, intron 3 of 5)	intron (NM_001308158, intron 3 of 5)	24188	NR_046798	100874273		NR_046798	ENSG00000224606	TGFA-IT1	-	TGFA intronic transcript 1	ncRNA
SLC39A8	chr4	102196278	102196465	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	127941	NM_001135148	64116		NM_022154	ENSG00000138821	SLC39A8	BIGM103|CDG2N|LZT-Hs6|PP3105|ZIP8	solute carrier family 39 member 8	protein-coding
TAS1R2	chr1	18796515	18797256	+	0	NA	Intergenic	AluJb|SINE|Alu	62775	NM_152232	80834		NM_152232	ENSG00000179002	TAS1R2	GPR71|T1R2|TR2	taste 1 receptor member 2	protein-coding
RFX3	chr9	3458962	3459505	+	0	NA	intron (NM_001282116, intron 1 of 16)	intron (NM_001282116, intron 1 of 16)	30201	NM_001282117	5991		NM_002919	ENSG00000080298	RFX3	-	regulatory factor X3	protein-coding
LINC02224	chr5	44464428	44464725	+	0	NA	Intergenic	L1PA15|LINE|L1	45706	NR_131946	102723839		NR_131946		LINC02224	BRCAT107	long intergenic non-protein coding RNA 2224	ncRNA
LINC02269	chr4	173801020	173802787	+	0	NA	Intergenic	Intergenic	-95370	NR_146487	101928478		NR_146487	ENSG00000250708	LINC02269	-	long intergenic non-protein coding RNA 2269	ncRNA
LINC02380	chr4	57501834	57502035	+	0	NA	Intergenic	Intergenic	76062	NR_125907	101928851		NR_125907	ENSG00000248505	LINC02380	-	long intergenic non-protein coding RNA 2380	ncRNA
LINC02458	chr12	89059720	89060460	+	0	NA	Intergenic	Intergenic	-40398	NR_038385	728084		NR_038385	ENSG00000246363	LINC02458	-	long intergenic non-protein coding RNA 2458	ncRNA
